name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
college station,2023-01-01,24.9,13.2,19.1,24.9,13.2,19.1,15.6,81,0,0,0,,0,0,39.9,27.2,176.8,1013,55.1,14,60.3,5.2,3,10,2023-01-01T07:22:46,2023-01-01T17:35:10,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,PRVT2"
college station,2023-01-02,25.5,21.6,23.2,25.5,21.6,23.2,20.7,86.4,2.228,100,16.67,rain,0,0,53.4,30,172,1009,85,14.4,31.7,2.6,2,75,2023-01-02T07:22:59,2023-01-02T17:35:53,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-01-03,23.1,13.4,18.5,23.1,13.4,18.5,9.7,61.3,1.564,100,4.17,rain,0,0,60.8,19.3,280.4,1010.9,46.2,15.4,88,7.6,4,75,2023-01-03T07:23:11,2023-01-03T17:36:37,0.39,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-04,21,9.1,14.1,21,7.9,13.9,3.5,52,0,0,0,,0,0,29.5,17.8,285.9,1017.4,0,16,93.8,8.1,5,10,2023-01-04T07:23:21,2023-01-04T17:37:23,0.42,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-05,19.7,6.1,12.9,19.7,3.1,12.5,3.1,53.4,0,0,0,,0,0,22.3,15.4,36.8,1024,0,16,103,9,5,10,2023-01-05T07:23:29,2023-01-05T17:38:09,0.46,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-06,25.9,8.7,16.7,25.9,7.8,16.6,10.4,67.5,0,0,0,,0,0,44.5,28.4,162.8,1021.1,12.9,16,103.7,8.8,5,10,2023-01-06T07:23:36,2023-01-06T17:38:55,0.5,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-07,24.2,16.4,19.5,24.2,16.4,19.5,16.2,82,1.237,100,8.33,rain,0,0,25.9,20.2,195.5,1020.6,90.4,15,48.8,4.2,2,60,2023-01-07T07:23:41,2023-01-07T17:39:43,0.53,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-08,21,9.9,14.6,21,8.8,14.5,4.3,52,3.5,100,12.5,rain,0,0,29.5,20.7,354.7,1023.8,38.1,15.9,106.4,9.2,5,10,2023-01-08T07:23:44,2023-01-08T17:40:31,0.56,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-09,21.4,8,14,21.4,6.9,13.7,7.3,65.4,0,0,0,,0,0,20.5,17.2,138.2,1022.3,0,16,98.5,8.3,5,10,2023-01-09T07:23:46,2023-01-09T17:41:20,0.59,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,PRVT2"
college station,2023-01-10,24.9,12.9,17.9,24.9,12.9,17.9,14.4,81.6,0,0,0,,0,0,38.9,24.8,189.1,1016.9,33.8,13.1,98.4,8.4,5,10,2023-01-10T07:23:46,2023-01-10T17:42:09,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-11,26,16.3,20.6,26,16.3,20.6,16.9,81.1,0,0,0,,0,0,43.7,29.5,191.3,1012.6,42.2,14.8,72.1,6.1,4,30,2023-01-11T07:23:44,2023-01-11T17:42:59,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-12,19.4,9.2,14.8,19.4,6.8,14.7,3.9,50.6,0,0,0,,0,0,55.3,32.7,324.2,1021.5,0.8,16,109.3,9.4,5,30,2023-01-12T07:23:40,2023-01-12T17:43:50,0.69,Clear,Clear conditions throughout the day.,clear-day,"99999900438,1286W,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-13,16.4,3.4,9.3,16.4,0.8,8.1,-2.6,47,0,0,0,rain,0,0,33.1,20.1,339.8,1028.9,0,16,110.1,9.4,5,10,2023-01-13T07:23:35,2023-01-13T17:44:41,0.73,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-14,17.7,1.9,10,17.7,1.9,9.9,-0.4,52.1,0,0,0,rain,0,0,35.3,22.5,152.4,1024.6,0,16,110.6,9.5,5,10,2023-01-14T07:23:28,2023-01-14T17:45:32,0.75,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-15,23,8.4,16,23,6.7,15.5,11,74,0,0,0,rain,0,0,64.9,44.5,165,1014.3,41.2,16,63.7,5.3,3,10,2023-01-15T07:23:20,2023-01-15T17:46:24,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-16,22.1,15.8,18.2,22.1,15.8,18.2,15.8,86.1,0,0,0,rain,0,0,38.9,20.5,165.1,1009.1,52.9,14.3,43.4,3.7,2,10,2023-01-16T07:23:10,2023-01-16T17:47:16,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-17,24.3,11.6,17.3,24.3,11.6,17.3,15.2,88.4,0,0,0,rain,0,0,27.7,16.2,147.6,1008.5,73.3,7.8,56.4,4.8,3,10,2023-01-17T07:22:58,2023-01-17T17:48:09,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-18,23.6,13.9,20,23.6,13.9,20,11.9,65.3,5.84,100,12.5,rain,0,0,49.1,24.7,272.1,1008.2,58,14.2,61.3,5.3,4,30,2023-01-18T07:22:44,2023-01-18T17:49:01,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,PRVT2"
college station,2023-01-19,19.1,8.2,13.7,19.1,6.4,13.4,-0.8,38.2,0,0,0,,0,0,24.1,20,330.6,1018.5,0,16,114.4,9.9,5,10,2023-01-19T07:22:29,2023-01-19T17:49:54,0.93,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KRWV,KCLL,72376123901,D0664,PRVT2"
college station,2023-01-20,11.7,9.3,10.4,11.7,7.4,9.9,2.8,60.6,0,0,0,,0,0,38.9,17.2,64.8,1022.1,87,16,20.3,1.6,1,10,2023-01-20T07:22:12,2023-01-20T17:50:47,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901,PRVT2"
college station,2023-01-21,12,9.3,10.7,12,8.6,10.5,7.5,80.9,0,0,0,,0,0,24.1,13.8,44.8,1016,99.2,15.9,24.6,1.9,1,10,2023-01-21T07:21:53,2023-01-21T17:51:41,0,Overcast,Cloudy skies throughout the day.,cloudy,"99999900438,74746003904,KCFD,KRWV,KCLL,72376123901,D0664,PRVT2"
college station,2023-01-22,14.8,4.9,9.1,14.8,1.9,7.6,1.4,61.8,0,0,0,,0,0,40.7,26.6,321.1,1016.6,16.7,13.7,114.8,9.8,5,10,2023-01-22T07:21:33,2023-01-22T17:52:34,0.03,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901,PRVT2"
college station,2023-01-23,14.9,2,9.2,14.9,1.8,8.5,-1,51.4,0,0,0,,0,0,31.7,22.9,77.5,1022.6,24.3,16,110.1,9.4,5,10,2023-01-23T07:21:11,2023-01-23T17:53:28,0.06,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-24,10.6,7.1,8.7,10.6,4.4,6,5.9,83.2,21.431,100,41.67,rain,0,0,63,28,8,1012.6,87,14.6,15.8,1.3,1,10,2023-01-24T07:20:48,2023-01-24T17:54:21,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-01-25,10.9,3.8,6.9,10.9,0.7,4.3,1.4,68.6,0,0,0,,0,0,54.8,33,313.4,1020.3,61.4,16,67.7,5.9,3,10,2023-01-25T07:20:22,2023-01-25T17:55:15,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-01-26,13.6,0.1,6.3,13.6,-1.9,5.7,-0.6,64.9,0,0,0,,0,0,14.8,16.6,331.4,1028.5,0,16,113.6,9.9,5,10,2023-01-26T07:19:56,2023-01-26T17:56:08,0.16,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KRWV,KCLL,72376123901,F8879,D0664,PRVT2"
college station,2023-01-27,13.2,1.2,7.5,13.2,1.2,7.4,0.9,65.1,0,0,0,,0,0,25.9,21.3,165.6,1026.3,46.8,16,49.8,4.3,2,10,2023-01-27T07:19:27,2023-01-27T17:57:02,0.2,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"99999900438,74746003904,KCFD,KRWV,KCLL,72376123901,D0664,PRVT2"
college station,2023-01-28,18.8,11,15.3,18.8,11,15.3,13.6,90,4.308,100,62.5,rain,0,0,31.3,19.7,164.5,1018.1,100,11.8,19.9,1.7,1,10,2023-01-28T07:18:58,2023-01-28T17:57:55,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,PRVT2"
college station,2023-01-29,20.4,5.4,16.2,20.4,1.9,15.5,14.9,91.7,8.565,100,25,rain,0,0,40.7,25.2,328.4,1016.2,99.6,13.3,36.5,3.1,2,10,2023-01-29T07:18:26,2023-01-29T17:58:49,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901,PRVT2"
college station,2023-01-30,4.8,0.5,2.1,0.7,-4.7,-2.7,1.2,93.4,0.631,100,12.5,"rain,snow",0,0,37.1,26.6,349.9,1023.3,100,8.6,15.7,1.3,1,10,2023-01-30T07:17:53,2023-01-30T17:59:42,0.3,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901,PRVT2"
college station,2023-01-31,1.6,0.5,0.8,-3.2,-5.2,-4.2,-0.5,91.5,0.474,100,8.33,"rain,snow",0,0,34.9,25.5,350.1,1025.4,100,10.1,19,1.6,1,10,2023-01-31T07:17:19,2023-01-31T18:00:35,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901,PRVT2"
college station,2023-02-01,1.6,-0.1,0.9,-1.8,-6.3,-3.6,-0.4,90.8,15.026,100,75,"rain,snow",0,0,36.2,28,349.2,1026.2,100,10.6,15.7,1.5,1,10,2023-02-01T07:16:43,2023-02-01T18:01:28,0.37,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664,72376123901,PRVT2"
college station,2023-02-02,4.2,1.5,2.6,0.4,-3.7,-1.6,1.5,92.3,22.544,100,54.17,"rain,snow",0,0,39,25.8,340.4,1025.3,100,9.8,25.5,2,1,10,2023-02-02T07:16:06,2023-02-02T18:02:21,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-02-03,13.1,2.7,6.5,13.1,-1.7,4.5,3.2,80.6,0,0,0,,0,0,33.5,18.8,344.3,1033,58.3,13.9,100.1,8.8,5,10,2023-02-03T07:15:27,2023-02-03T18:03:13,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KRWV,KCLL,F8879,D0664"
college station,2023-02-04,17.6,0,8.7,17.6,0,8.6,3.9,74.7,0,0,0,,0,0,33.5,21.5,168.3,1028.5,39.7,10.9,119.9,10.5,6,10,2023-02-04T07:14:47,2023-02-04T18:04:05,0.47,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,F8879"
college station,2023-02-05,22.1,5.9,14.2,22.1,5.9,14.2,9.8,77.6,0,0,0,,0,0,33.5,19.3,189.9,1022.3,30.1,12.5,114.2,9.9,5,10,2023-02-05T07:14:06,2023-02-05T18:04:57,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,F8879"
college station,2023-02-06,24,13.1,17.7,24,13.1,17.7,13.8,79.6,0,0,0,,0,0,52.4,34.1,161,1016.8,61,14.6,80.7,7,5,10,2023-02-06T07:13:23,2023-02-06T18:05:49,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,F8879"
college station,2023-02-07,22.6,17.1,19.5,22.6,17.1,19.5,16.9,84.7,2.238,100,8.33,rain,0,0,38.9,24,133.4,1015,100,15.7,40.3,3.3,2,10,2023-02-07T07:12:39,2023-02-07T18:06:40,0.57,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"99999900438,74746003904,KCFD,KRWV,KCLL,F8879,D0664"
college station,2023-02-08,20,5.8,10.8,20,4.2,10.1,9.3,90.7,22.428,100,45.83,rain,0,0,43.9,21.5,293.1,1016.6,75,15,26.2,2.3,1,10,2023-02-08T07:11:53,2023-02-08T18:07:31,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"99999900438,74746003904,KCFD,KCLL,D0664,PRVT2"
college station,2023-02-09,21.5,4.3,12,21.5,3,11.7,6.6,73.4,0,0,0,,0,0,25.9,16.5,173.2,1018.9,12.7,13.2,139.5,12.1,6,10,2023-02-09T07:11:06,2023-02-09T18:08:22,0.64,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-02-10,12,4.2,9.5,12,1.8,8,3.1,65.1,0,0,0,,0,0,55.5,33.3,328.9,1025.9,30.9,16,92.1,8,5,10,2023-02-10T07:10:18,2023-02-10T18:09:12,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-02-11,11.9,1.7,6.2,11.9,-2.4,4.1,1.1,70.5,0,0,0,,0,0,35.3,22.9,324.4,1026.5,38.6,16,71.1,6.2,3,10,2023-02-11T07:09:29,2023-02-11T18:10:02,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,72376123901"
college station,2023-02-12,18.4,2.3,9.8,18.4,2.3,9.7,2.4,64.6,0,0,0,,0,0,11.2,14.4,196.4,1021.9,0,16,129,11.1,6,10,2023-02-12T07:08:39,2023-02-12T18:10:52,0.74,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-02-13,21.6,6.6,14.1,21.6,6.6,13.9,8.3,70.3,0,0,0,,0,0,38.9,26.2,160.3,1016.4,0.4,16,104.9,9,6,10,2023-02-13T07:07:47,2023-02-13T18:11:41,0.75,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664"
college station,2023-02-14,27,15.2,19.9,26.5,15.2,19.9,9.8,59.2,0.458,100,4.17,rain,0,0,53.6,35.5,193.4,1006.8,45.7,15.7,123.9,10.7,6,10,2023-02-14T07:06:54,2023-02-14T18:12:30,0.81,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-02-15,26.8,14.4,21,27.8,14.4,21,16.5,77.3,0,0,0,,0,0,53.1,31.8,164.1,1008.3,71.6,13.9,80,6.9,5,60,2023-02-15T07:06:01,2023-02-15T18:13:19,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900438,74746003904,KCFD,KCLL,D0664,72376123901"
college station,2023-02-16,22.7,5.9,12.1,22.7,1.9,10.7,3.6,57.3,4.174,100,8.33,rain,0,0,58,33.3,332.3,1017.4,87.1,15.6,52.2,4.5,2,60,2023-02-16T07:05:06,2023-02-16T18:14:07,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-02-17,11.9,1,6,11.9,-3.7,3,-4.3,49,0,0,0,,0,0,45,30.1,348.9,1031.2,0,16,135.2,11.7,6,10,2023-02-17T07:04:10,2023-02-17T18:14:55,0.91,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-02-18,12.8,1.7,7.7,12.8,0,6.9,-1.8,52.1,0,0,0,,0,0,25.9,21.1,140.6,1029.8,0,16,98,8.6,4,10,2023-02-18T07:03:13,2023-02-18T18:15:42,0.95,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KCLL,D0664"
college station,2023-02-19,23,6.6,14.5,23,6.6,14.3,8.3,67.8,0,0,0,,0,0,33.5,18,196.8,1022.6,9.6,16,111.7,9.6,4,10,2023-02-19T07:02:15,2023-02-19T18:16:29,0.98,Clear,Clear conditions throughout the day.,clear-day,"99999900438,74746003904,KCFD,KRWV,KCLL,D0664"
